Date,Price,Open,High,Low,Vol.,Change %
2019-10-30,0.00414,0.00422,0.00438,0.003865,999.12M,-1.90%
2019-10-31,0.004097,0.004137,0.004189,0.003899,458.54M,-1.04%
2019-11-01,0.003981,0.004097,0.00412,0.003936,300.93M,-2.83%
2019-11-02,0.004205,0.003981,0.004298,0.003971,414.42M,5.63%
2019-11-03,0.004234,0.004204,0.004372,0.004148,354.13M,0.69%
2019-11-04,0.00439,0.004234,0.004446,0.004171,397.78M,3.68%
2019-11-05,0.004891,0.004391,0.005029,0.004355,1.09B,11.41%
2019-11-06,0.005238,0.004882,0.005321,0.004882,1.14B,7.09%
2019-11-07,0.005599,0.005235,0.005862,0.005022,2.36B,6.89%
2019-11-08,0.00531,0.00561,0.005924,0.005234,1.60B,-5.16%
2019-11-09,0.005122,0.0053,0.0053,0.005071,945.10M,-3.54%
2019-11-10,0.00574,0.005122,0.005785,0.005094,1.15B,12.07%
2019-11-11,0.006055,0.005737,0.006153,0.005436,1.73B,5.49%
2019-11-12,0.006535,0.006055,0.00674,0.005958,2.54B,7.93%
2019-11-13,0.006279,0.006557,0.006557,0.006127,1.37B,-3.92%
2019-11-14,0.007301,0.006279,0.00756,0.006166,2.78B,16.28%
2019-11-15,0.007812,0.007294,0.008094,0.006721,4.78B,7.00%
2019-11-16,0.007262,0.007817,0.007817,0.007212,2.60B,-7.04%
2019-11-17,0.007657,0.007266,0.007668,0.00712,1.55B,5.44%
2019-11-18,0.007407,0.007661,0.007661,0.007089,2.12B,-3.26%
2019-11-19,0.006877,0.007388,0.007388,0.006626,2.05B,-7.16%
2019-11-20,0.00612,0.00688,0.00688,0.006031,2.54B,-11.01%
2019-11-21,0.005725,0.006132,0.006216,0.00556,2.18B,-6.45%
2019-11-22,0.005172,0.005731,0.005853,0.00465,3.95B,-9.66%
2019-11-23,0.005754,0.00517,0.005806,0.004916,2.94B,11.25%
2019-11-24,0.005225,0.005756,0.00609,0.005149,3.86B,-9.19%
2019-11-25,0.005812,0.005233,0.006003,0.004991,3.59B,11.23%
2019-11-26,0.006333,0.005825,0.006382,0.005707,2.64B,8.96%
2019-11-27,0.006504,0.006336,0.00664,0.00587,3.15B,2.70%
2019-11-28,0.006352,0.006496,0.006665,0.006282,1.24B,-2.34%
2019-11-29,0.006466,0.006342,0.006515,0.006202,1.13B,1.79%
2019-11-30,0.006087,0.006479,0.006479,0.00597,1.07B,-5.86%
2019-12-01,0.007101,0.006051,0.007215,0.005766,3.43B,16.66%
2019-12-02,0.007421,0.007119,0.007975,0.007117,4.57B,4.51%
2019-12-03,0.006965,0.007418,0.007615,0.006785,2.70B,-6.14%
2019-12-04,0.006899,0.006969,0.007758,0.006765,3.35B,-0.95%
2019-12-05,0.006873,0.006893,0.007107,0.006646,2.33B,-0.38%
